true_label,predicted_label,probability_non_sarcastic,probability_sarcastic,confidence,correct
0,0,0.99931526,0.0006846863,0.99931526,True
1,1,0.17982544,0.8201745,0.8201745,True
0,0,0.8968918,0.10310827,0.8968918,True
0,0,0.54609233,0.45390767,0.54609233,True
1,1,0.09492379,0.90507615,0.90507615,True
1,1,0.11702949,0.88297045,0.88297045,True
0,0,0.9937263,0.006273713,0.9937263,True
0,0,0.60378844,0.39621156,0.60378844,True
0,1,0.15372777,0.8462723,0.8462723,False
1,1,0.113230005,0.88676995,0.88676995,True
1,1,0.087682,0.912318,0.912318,True
1,1,0.38385788,0.6161421,0.6161421,True
1,1,0.279984,0.72001594,0.72001594,True
0,0,0.8792986,0.120701425,0.8792986,True
0,0,0.95307624,0.04692382,0.95307624,True
0,0,0.9997042,0.0002958203,0.9997042,True
1,0,0.50841975,0.49158025,0.50841975,False
1,1,0.1775279,0.82247204,0.82247204,True
0,0,0.99760795,0.0023919994,0.99760795,True
1,1,0.17599699,0.82400304,0.82400304,True
1,1,0.39679685,0.6032031,0.6032031,True
1,1,0.3001638,0.69983625,0.69983625,True
0,0,0.5687357,0.43126428,0.5687357,True
1,1,0.3602888,0.63971114,0.63971114,True
0,0,0.9961409,0.0038591416,0.9961409,True
0,0,0.992829,0.007170959,0.992829,True
0,1,0.3574367,0.6425633,0.6425633,False
1,1,0.08779422,0.9122058,0.9122058,True
0,0,0.9993432,0.0006567877,0.9993432,True
1,1,0.11164634,0.88835365,0.88835365,True
1,1,0.30030555,0.69969445,0.69969445,True
0,0,0.8629259,0.13707407,0.8629259,True
0,1,0.3916674,0.60833263,0.60833263,False
0,1,0.35298204,0.64701796,0.64701796,False
1,0,0.75288105,0.247119,0.75288105,False
1,1,0.20501126,0.7949887,0.7949887,True
0,1,0.3957649,0.6042351,0.6042351,False
0,1,0.13385873,0.8661413,0.8661413,False
0,1,0.40247905,0.597521,0.597521,False
1,1,0.10827621,0.8917238,0.8917238,True
1,1,0.31191096,0.6880891,0.6880891,True
1,1,0.4182473,0.58175266,0.58175266,True
0,1,0.16015199,0.839848,0.839848,False
1,0,0.80179584,0.19820409,0.80179584,False
0,0,0.9947213,0.0052787345,0.9947213,True
0,0,0.9977689,0.0022311904,0.9977689,True
1,1,0.12212393,0.87787604,0.87787604,True
1,0,0.782544,0.21745601,0.782544,False
1,1,0.10777963,0.8922204,0.8922204,True
0,1,0.26836878,0.7316312,0.7316312,False
1,1,0.09280116,0.90719885,0.90719885,True
1,1,0.17340763,0.8265923,0.8265923,True
1,1,0.09779245,0.9022076,0.9022076,True
1,1,0.4894636,0.51053643,0.51053643,True
1,1,0.30380237,0.6961976,0.6961976,True
1,1,0.20255771,0.79744226,0.79744226,True
1,1,0.080317646,0.9196823,0.9196823,True
1,1,0.092325434,0.9076746,0.9076746,True
0,0,0.94558275,0.0544172,0.94558275,True
1,1,0.08354772,0.9164522,0.9164522,True
1,1,0.1135896,0.8864104,0.8864104,True
1,0,0.62950325,0.37049675,0.62950325,False
0,0,0.99871385,0.0012861033,0.99871385,True
0,0,0.75163484,0.24836512,0.75163484,True
1,1,0.10818107,0.891819,0.891819,True
0,0,0.99888533,0.0011146861,0.99888533,True
0,0,0.5551974,0.44480252,0.5551974,True
0,0,0.76208305,0.23791696,0.76208305,True
1,1,0.13012083,0.8698792,0.8698792,True
1,1,0.14592756,0.85407245,0.85407245,True
1,0,0.9711067,0.028893253,0.9711067,False
1,1,0.22274059,0.7772594,0.7772594,True
0,1,0.48670778,0.51329225,0.51329225,False
1,1,0.060297832,0.9397022,0.9397022,True
1,1,0.15858416,0.8414158,0.8414158,True
0,1,0.115201324,0.88479865,0.88479865,False
0,0,0.9655417,0.034458242,0.9655417,True
0,0,0.9802419,0.019758133,0.9802419,True
0,0,0.6423183,0.35768163,0.6423183,True
1,1,0.14319071,0.85680926,0.85680926,True
0,0,0.9996911,0.00030888003,0.9996911,True
0,0,0.96982366,0.03017634,0.96982366,True
0,0,0.98056215,0.019437844,0.98056215,True
1,1,0.34636787,0.65363216,0.65363216,True
0,0,0.9059883,0.094011724,0.9059883,True
1,1,0.23797809,0.76202184,0.76202184,True
1,0,0.5110056,0.48899442,0.5110056,False
0,0,0.99781287,0.0021870648,0.99781287,True
1,1,0.17805159,0.8219484,0.8219484,True
1,1,0.31701955,0.6829805,0.6829805,True
1,1,0.27641317,0.72358686,0.72358686,True
0,0,0.6343487,0.36565134,0.6343487,True
1,1,0.22280529,0.77719474,0.77719474,True
1,1,0.12528609,0.8747139,0.8747139,True
1,1,0.2627374,0.7372626,0.7372626,True
1,1,0.06730872,0.93269134,0.93269134,True
0,0,0.9992995,0.00070048386,0.9992995,True
1,1,0.21960795,0.78039205,0.78039205,True
0,1,0.21117438,0.7888256,0.7888256,False
0,0,0.9817603,0.018239658,0.9817603,True
1,1,0.102619156,0.89738077,0.89738077,True
0,0,0.7650434,0.2349566,0.7650434,True
0,0,0.9996247,0.00037529477,0.9996247,True
1,1,0.11096471,0.8890353,0.8890353,True
1,0,0.65046877,0.34953126,0.65046877,False
1,0,0.6838784,0.31612158,0.6838784,False
1,1,0.48836738,0.5116326,0.5116326,True
0,0,0.99945456,0.0005454617,0.99945456,True
0,0,0.9522301,0.047769964,0.9522301,True
0,1,0.23326905,0.7667309,0.7667309,False
0,0,0.9935661,0.0064339465,0.9935661,True
1,1,0.09741413,0.90258586,0.90258586,True
1,1,0.13366845,0.8663316,0.8663316,True
1,1,0.16243455,0.8375654,0.8375654,True
1,1,0.1785195,0.8214805,0.8214805,True
1,1,0.10719854,0.89280146,0.89280146,True
1,1,0.17873637,0.8212636,0.8212636,True
1,1,0.16261078,0.8373892,0.8373892,True
1,1,0.13335891,0.86664104,0.86664104,True
0,0,0.98443663,0.015563406,0.98443663,True
0,0,0.9997763,0.00022372928,0.9997763,True
0,0,0.9858861,0.014113911,0.9858861,True
0,0,0.9755397,0.024460282,0.9755397,True
1,1,0.13837592,0.86162406,0.86162406,True
1,1,0.367389,0.63261104,0.63261104,True
1,1,0.13720362,0.8627964,0.8627964,True
1,1,0.39157212,0.6084279,0.6084279,True
1,1,0.14924209,0.85075796,0.85075796,True
1,1,0.38321525,0.61678475,0.61678475,True
1,1,0.17134596,0.828654,0.828654,True
1,1,0.39565438,0.6043456,0.6043456,True
1,1,0.1120672,0.8879328,0.8879328,True
1,1,0.11791625,0.8820838,0.8820838,True
1,1,0.3529018,0.6470982,0.6470982,True
0,0,0.76204413,0.23795588,0.76204413,True
1,0,0.6111794,0.3888206,0.6111794,False
0,1,0.09157677,0.90842324,0.90842324,False
1,0,0.5198649,0.4801351,0.5198649,False
1,1,0.1761943,0.8238057,0.8238057,True
0,1,0.32570156,0.67429847,0.67429847,False
1,1,0.33707494,0.662925,0.662925,True
1,1,0.10948896,0.89051104,0.89051104,True
0,0,0.7370215,0.26297846,0.7370215,True
0,0,0.9681147,0.031885315,0.9681147,True
1,1,0.07605577,0.92394423,0.92394423,True
1,1,0.2563238,0.7436762,0.7436762,True
0,0,0.99963343,0.0003666088,0.99963343,True
1,1,0.19007951,0.8099205,0.8099205,True
1,1,0.19807127,0.8019287,0.8019287,True
0,0,0.9692179,0.030782053,0.9692179,True
0,0,0.99910396,0.0008960361,0.99910396,True
1,1,0.11443218,0.88556784,0.88556784,True
0,0,0.9807128,0.019287277,0.9807128,True
0,0,0.9856418,0.01435826,0.9856418,True
1,1,0.16675879,0.8332413,0.8332413,True
1,0,0.8358842,0.16411582,0.8358842,False
1,1,0.09331939,0.9066806,0.9066806,True
0,0,0.6073861,0.39261386,0.6073861,True
1,1,0.11448808,0.8855119,0.8855119,True
