emotion,best_threshold,best_f1
admiration,0.9,0.5107445385644227
amusement,0.9,0.6130268199233716
anger,0.9,0.3682804674457429
annoyance,0.9,0.30547405482437756
approval,0.9,0.27845595513032
caring,0.9,0.3352718078381795
confusion,0.9,0.317885226702359
curiosity,0.9,0.44653992395437264
desire,0.9,0.3348370927318296
disappointment,0.9,0.2701881056431693
disapproval,0.9,0.32944130571249214
disgust,0.9,0.3153070577451879
embarrassment,0.9,0.2591973244147157
excitement,0.9,0.2745940783190067
fear,0.9,0.42632850241545894
gratitude,0.9,0.7121482009262557
grief,0.8,0.11165048543689321
joy,0.9,0.34931108092373375
love,0.9,0.6212600340549744
nervousness,0.9,0.2055800293685756
optimism,0.9,0.37256637168141593
pride,0.8,0.16194331983805668
realization,0.9,0.18506723283793347
relief,0.8,0.13745704467353953
remorse,0.9,0.4723076923076923
sadness,0.9,0.40090217084860447
surprise,0.9,0.408955223880597
neutral,0.9,0.5339721254355401
