,precision,recall,f1-score,support
admiration,0.6210909090909091,0.49421296296296297,0.5504350628424106,3456.0
amusement,0.5905511811023622,0.594923320994183,0.5927291886195996,1891.0
anger,0.487062404870624,0.19656019656019655,0.2800875273522976,1628.0
annoyance,0.0,0.0,0.0,2722.0
approval,0.5583333333333333,0.07840842598010532,0.1375064135454079,3418.0
caring,0.39775910364145656,0.12380122057541412,0.18882978723404256,1147.0
confusion,0.46842105263157896,0.12166780587833219,0.19316332067281605,1463.0
curiosity,0.5367647058823529,0.07521895929933024,0.13194758246723903,1941.0
desire,0.4930232558139535,0.13984168865435356,0.21788283658787255,758.0
disappointment,0.8076923076923077,0.012567324955116697,0.024749558043606363,1671.0
disapproval,0.44510385756676557,0.0655307994757536,0.11424219345011424,2289.0
disgust,0.5944444444444444,0.09962756052141528,0.17065390749601275,1074.0
embarrassment,0.8235294117647058,0.055776892430278883,0.1044776119402985,502.0
excitement,0.5260115606936416,0.08117752007136485,0.14064914992272023,1121.0
fear,0.5482954545454546,0.3088,0.39508700102354144,625.0
gratitude,0.8815,0.7566523605150215,0.8143187066974595,2330.0
grief,0.0,0.0,0.0,115.0
joy,0.5500794912559619,0.21665623043206012,0.3108715184186882,1597.0
love,0.6353658536585366,0.6384803921568627,0.636919315403423,1632.0
nervousness,0.0,0.0,0.0,365.0
optimism,0.5675675675675675,0.24929338609383833,0.34642576590730556,1769.0
pride,0.0,0.0,0.0,260.0
realization,0.5476190476190477,0.013411078717201166,0.02618099032441662,1715.0
relief,0.0,0.0,0.0,257.0
remorse,0.4610169491525424,0.2625482625482625,0.33456334563345635,518.0
sadness,0.5267034990791897,0.22102009273570325,0.31137724550898205,1294.0
surprise,0.5454545454545454,0.22905027932960895,0.3226229508196721,1074.0
neutral,0.6096014492753623,0.30084935181046046,0.40287339120023946,11185.0
micro avg,0.6110916812390706,0.24551859806893228,0.35029785771566047,49817.0
macro avg,0.472249692362023,0.1905741468820652,0.2410212275397008,49817.0
weighted avg,0.5442195337790612,0.24551859806893228,0.3077791770796586,49817.0
samples avg,0.27767388645599084,0.252596587930947,0.2595299528262009,49817.0
