,precision,recall,f1-score,support
admiration,0.5920245398773006,0.5584490740740741,0.574746873138773,3456.0
amusement,0.5794573643410853,0.632469592808038,0.6048040455120102,1891.0
anger,0.4721030042918455,0.2702702702702703,0.34375,1628.0
annoyance,0.4666666666666667,0.0334313005143277,0.06239286938635585,2722.0
approval,0.47455470737913485,0.10912814511410181,0.1774500475737393,3418.0
caring,0.40425531914893614,0.2153443766346992,0.28100113765642776,1147.0
confusion,0.46021505376344085,0.14627477785372522,0.22199170124481327,1463.0
curiosity,0.5024077046548957,0.16125708397733127,0.24414976599063962,1941.0
desire,0.42378048780487804,0.18337730870712401,0.2559852670349908,758.0
disappointment,0.47596153846153844,0.059245960502693,0.10537519957424162,1671.0
disapproval,0.43738977072310403,0.10834425513324596,0.17366946778711484,2289.0
disgust,0.5201342281879194,0.14432029795158285,0.2259475218658892,1074.0
embarrassment,0.5521472392638037,0.17928286852589642,0.2706766917293233,502.0
excitement,0.48031496062992124,0.10883140053523639,0.17745454545454545,1121.0
fear,0.5378787878787878,0.3408,0.41723800195886385,625.0
gratitude,0.8715415019762845,0.7570815450643776,0.8102893890675241,2330.0
grief,0.5,0.06956521739130435,0.12213740458015267,115.0
joy,0.5466101694915254,0.24232936756418283,0.33579175704989156,1597.0
love,0.6109154929577465,0.6378676470588235,0.6241007194244604,1632.0
nervousness,0.4222222222222222,0.052054794520547946,0.09268292682926829,365.0
optimism,0.5609195402298851,0.27586206896551724,0.3698370594922319,1769.0
pride,0.65625,0.08076923076923077,0.14383561643835616,260.0
realization,0.4827586206896552,0.05714285714285714,0.10218978102189781,1715.0
relief,0.47368421052631576,0.03501945525291829,0.06521739130434782,257.0
remorse,0.4947089947089947,0.361003861003861,0.4174107142857143,518.0
sadness,0.5029325513196481,0.2650695517774343,0.347165991902834,1294.0
surprise,0.5158878504672897,0.2569832402234637,0.3430702299564947,1074.0
neutral,0.6100358422939068,0.30433616450603485,0.40608410378765286,11185.0
micro avg,0.5810991397310615,0.27932231969006566,0.3772894269484701,49817.0
macro avg,0.5224199417841691,0.23735398978010358,0.2970159364660198,49817.0
weighted avg,0.5470452071417852,0.27932231969006566,0.34412190986480934,49817.0
samples avg,0.3113070580344814,0.28484064048154467,0.29147456165564817,49817.0
